class-att,fix,hack,should,thi,todo,workaround
1,0,0,2.878551,0,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,0,0,0
1,0,0,2.878551,3.556671,0,3.888637
1,0,0,0,0,0,0
1,0,0,0,1.778335,0,0
1,0,3.594131,0,0,0,0
1,0,0,0,1.778335,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,6.683789,0,0,0
1,0,0,0,0,0,0
1,0,0,0,4.129167,0,0
1,0,0,0,0,0,0
1,0,0,2.878551,0,0,0
1,0,0,0,0,0,3.888637
1,0,0,2.878551,2.818595,0,0
1,0,0,0,1.778335,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,0,0,0,3.888637
1,3.649612,0,0,2.818595,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,0,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,2.878551,0,0,0
1,0,0,0,1.778335,0,0
1,0,3.594131,0,1.778335,0,0
1,0,3.594131,0,1.778335,0,0
1,0,0,0,3.556671,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,0,0,4.411112,0
1,0,0,0,0,4.411112,0
1,0,0,0,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,3.888637
1,3.649612,0,0,2.818595,0,0
1,0,3.594131,0,0,0,0
1,0,0,0,0,0,0
1,0,0,2.878551,0,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,0,0,3.888637
1,0,0,0,1.778335,0,0
1,0,0,0,2.818595,0,0
1,0,0,0,1.778335,0,0
1,0,3.594131,0,0,0,0
1,0,0,2.878551,0,0,0
1,0,0,0,0,0,0
1,0,0,0,2.818595,0,0
1,0,0,0,1.778335,4.411112,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,2.878551,0,0,0
1,0,0,0,1.778335,0,0
1,0,0,2.878551,0,0,0
1,0,0,0,0,0,0
1,0,0,2.878551,0,0,0
1,3.649612,0,0,1.778335,0,3.888637
1,0,3.594131,0,2.818595,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,0,3.556671,0,0
1,0,0,0,1.778335,0,0
1,0,0,2.878551,0,0,0
1,0,0,0,1.778335,0,0
1,0,0,4.562396,1.778335,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,3.594131,0,1.778335,0,0
1,3.649612,0,0,2.818595,0,0
1,0,3.594131,0,2.818595,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,3.594131,0,1.778335,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,3.649612,0,0,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,3.594131,0,2.818595,0,0
1,0,0,0,0,0,3.888637
1,0,0,0,0,0,0
1,0,3.594131,0,0,0,0
1,0,3.594131,0,1.778335,0,0
1,0,0,0,0,0,3.888637
1,3.649612,3.594131,0,2.818595,0,0
1,0,3.594131,0,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,3.888637
1,0,3.594131,0,1.778335,0,0
1,0,0,0,0,0,0
1,3.649612,0,0,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,0,0,0
1,0,0,2.878551,0,0,0
1,3.649612,0,0,2.818595,0,0
1,0,0,0,0,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,0,0,0
1,0,3.594131,0,0,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,0,0,3.888637
1,0,0,0,0,0,0
1,0,3.594131,0,0,0,0
1,0,0,0,0,0,0
1,0,0,2.878551,0,0,0
1,0,0,0,0,0,0
1,0,0,0,1.778335,0,0
1,0,0,2.878551,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,2.818595,0,0
1,0,0,0,0,0,0
1,0,3.594131,0,0,0,0
1,0,0,0,1.778335,0,0
1,3.649612,3.594131,0,0,0,0
1,0,0,2.878551,1.778335,0,0
1,3.649612,3.594131,0,0,0,0
1,0,0,2.878551,1.778335,0,0
1,0,3.594131,0,0,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,0,0,3.888637
1,0,0,0,0,0,3.888637
1,0,3.594131,0,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,0,0,0
1,0,3.594131,0,0,0,0
1,0,0,0,0,0,3.888637
1,0,0,2.878551,0,0,0
1,0,0,2.878551,3.556671,0,0
1,0,0,2.878551,3.556671,0,0
1,0,0,0,0,0,0
1,0,3.594131,0,1.778335,0,0
1,0,0,0,2.818595,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,0,0,3.888637
1,0,3.594131,0,1.778335,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,0,2.818595,0,0
1,0,0,0,1.778335,0,3.888637
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,0,0,0,3.888637
1,0,0,4.562396,2.818595,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,0,0,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,0,0,0
1,0,0,2.878551,1.778335,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,4.411112,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,1.778335,0,0
1,0,0,0,0,4.411112,0
1,0,0,2.878551,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,4.411112,0
1,0,0,0,1.778335,0,0
1,0,0,0,0,4.411112,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,2.818595,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,2.818595,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,4.129167,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,2.878551,0,0,0
0,3.649612,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,2.878551,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,3.649612,0,0,3.556671,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,2.878551,1.778335,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,2.818595,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.778335,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
